cat,freq,n-grams
problema,14,EDUARDO
problema,14,alagar
problema,14,bueiro
problema,14,cheiro
problema,14,contato
problema,14,continuar
problema,14,encaminhar
problema,14,lado
problema,14,pavimentar
problema,14,pedido
problema,14,providencia
problema,14,saude
problema,14,setembro
problema,14,solucao
problema,14,tratar
problema,14,vizinho
policia,14,1a
policia,14,abrir
policia,14,acordo delegado
policia,14,ainda nao
policia,14,ano ir morto
policia,14,apenas
policia,14,apontar como
policia,14,calibre
policia,14,cocaina
policia,14,colocar
policia,14,comeco
policia,14,denuncia
policia,14,furtar
policia,14,furto
policia,14,inquerito
policia,14,madrugada
policia,14,pistola
policia,14,porta
policia,14,publico
policia,14,responsavel
policia,14,trafico droga
policia,14,zona
novidades,14,acabar
novidades,14,amigo
novidades,14,ano ano
novidades,14,atividade
novidades,14,cancer
novidades,14,carreira
novidades,14,colocar
novidades,14,condicao
novidades,14,contato
novidades,14,dado
novidades,14,dono
novidades,14,eduardo rodrigues
novidades,14,eduardo rodrigues diariogaucho
novidades,14,entao
novidades,14,entender
novidades,14,equipar
novidades,14,estrutura
novidades,14,fase
novidades,14,funcionar
novidades,14,funcionario
novidades,14,la
novidades,14,mudar
novidades,14,norte
novidades,14,novela
novidades,14,oferecer
novidades,14,peca
novidades,14,pensar
novidades,14,perto
novidades,14,pescador
novidades,14,policia
novidades,14,ponto
novidades,14,preparar
novidades,14,principal
novidades,14,procurar
novidades,14,prova
novidades,14,real
novidades,14,reportagem
novidades,14,rodrigues
novidades,14,rodrigues diariogaucho
novidades,14,rodrigues diariogaucho br
novidades,14,sala
novidades,14,ser muito
novidades,14,tipo
novidades,14,troca
esportes,14,assistir
esportes,14,bola
esportes,14,brasileiro
esportes,14,comecar
esportes,14,conquista
esportes,14,contar
esportes,14,entao
esportes,14,ganhar
esportes,14,importante
esportes,14,lembrar
esportes,14,mostrar
esportes,14,placar
esportes,14,presidente
esportes,14,quilometro
esportes,14,uruguaio
esportes,14,valar
trabalhador,13,chance
trabalhador,13,geral
trabalhador,13,gratuito
trabalhador,13,preciso
trabalhador,13,rede
